type,order_release_id,details
Missing Settlement,8340314121,Order Amount: ₹599.00
Missing Settlement,8338953151,Order Amount: ₹799.00
Missing Settlement,8325375589,Order Amount: ₹799.00
Missing Settlement,8324863700,Order Amount: ₹649.00
Missing Settlement,8307327990,Order Amount: ₹599.00
Missing Settlement,8333594126,Order Amount: ₹949.00
Missing Settlement,8332333869,Order Amount: ₹599.00
Missing Settlement,8329401695,Order Amount: ₹649.00
Missing Settlement,8332176608,Order Amount: ₹649.00
Missing Settlement,8329267644,Order Amount: ₹849.00
Missing Settlement,8321282171,Order Amount: ₹599.00
Missing Settlement,8323717267,Order Amount: ₹949.00
Missing Settlement,8339001942,Order Amount: ₹799.00
Missing Settlement,8301573378,Order Amount: ₹849.00
Missing Settlement,8334165180,Order Amount: ₹949.00
Missing Settlement,8332338388,Order Amount: ₹649.00
Missing Settlement,8324587405,Order Amount: ₹599.00
Missing Settlement,8323818987,Order Amount: ₹799.00
Missing Settlement,8321122797,Order Amount: ₹599.00
Missing Settlement,8340464818,Order Amount: ₹799.00
Missing Settlement,8334233338,Order Amount: ₹799.00
Missing Settlement,8332276905,Order Amount: ₹949.00
Missing Settlement,8325746480,Order Amount: ₹799.00
Missing Settlement,8301783560,Order Amount: ₹799.00
Missing Settlement,8339014837,Order Amount: ₹599.00
Missing Settlement,8339701089,Order Amount: ₹799.00
Missing Settlement,8332921667,Order Amount: ₹949.00
Missing Settlement,8321757024,Order Amount: ₹799.00
Missing Settlement,8339833731,Order Amount: ₹599.00
Missing Settlement,8322700805,Order Amount: ₹799.00
Missing Settlement,8312859678,Order Amount: ₹799.00
Missing Settlement,8334090090,Order Amount: ₹799.00
Missing Settlement,8330415979,Order Amount: ₹849.00
Missing Settlement,8340793256,Order Amount: ₹799.00
Missing Settlement,8340331210,Order Amount: ₹799.00
Missing Settlement,8315005059,Order Amount: ₹999.00
Missing Settlement,8333587390,Order Amount: ₹949.00
Missing Settlement,8323698483,Order Amount: ₹899.00
